iter	Passed	Remaining
0	391	313088
1	808	322670
2	1200	318900
3	1582	314981
4	2003	318519
5	2400	317669
6	2780	314969
7	3170	313920
8	3536	310793
9	3954	312379
10	4342	311463
11	4765	312915
12	5158	312286
13	5562	312284
14	5948	311313
15	6324	309921
16	6771	311870
17	7169	311471
18	7548	310271
19	7958	310368
20	8326	308861
21	8741	309134
22	9141	308806
23	9522	307879
24	9906	307099
25	10282	306101
26	10691	306092
27	11061	304975
28	11320	300958
29	11690	300050
30	12078	299623
31	12468	299241
32	12885	299487
33	13262	298788
34	13679	299005
35	14053	298248
36	14448	297947
37	14832	297422
38	15229	297167
39	15593	296277
40	16011	296405
41	16377	295578
42	16762	295105
43	17127	294289
44	17541	294307
45	17930	293904
46	18299	293179
47	18666	292442
48	19062	292157
49	19429	291441
50	19814	291003
51	20188	290399
52	20575	290000
53	20980	289839
54	21383	289646
55	21782	289391
56	22172	289023
57	22581	288893
58	22996	288815
59	23383	288401
60	23790	288220
61	24152	287487
62	24567	287400
63	24949	286919
64	25358	286741
65	25751	286388
66	26133	285912
67	26523	285518
68	26893	284913
69	27274	284436
70	27654	283949
71	28026	283379
72	28437	283208
73	28834	282886
74	29231	282572
75	29634	282311
76	30006	281749
77	30390	281307
78	30763	280768
79	31171	280547
80	31564	280181
81	31957	279827
82	32374	279668
83	32760	279243
84	33124	278636
85	33533	278408
86	33984	278516
87	34379	278159
88	34764	277723
89	35164	277412
90	35530	276822
91	35915	276393
92	36287	275859
93	36672	275432
94	37015	274690
95	37422	274431
96	37808	274011
97	38181	273501
98	38580	273178
99	38945	272617
100	39386	272582
101	39786	272262
102	40174	271858
103	40531	271250
104	40970	271187
105	41352	270744
106	41756	270440
107	42164	270165
108	42555	269781
109	42917	269209
110	43324	268924
111	43731	268636
112	44106	268154
113	44521	267911
114	44929	267621
115	45318	267224
116	45717	266880
117	46089	266381
118	46490	266050
119	46885	265686
120	47270	265260
121	47703	265108
122	48079	264634
123	48486	264327
124	48869	263894
125	49265	263532
126	49683	263283
127	50098	263016
128	50518	262776
129	50884	262250
130	51280	261885
131	51664	261453
132	52075	261161
133	52467	260770
134	52874	260455
135	53296	260211
136	53704	259896
137	54128	259659
138	54505	259196
139	54930	258959
140	55311	258511
141	55735	258267
142	56119	257834
143	56540	257572
144	56964	257321
145	57378	257025
146	57803	256774
147	58230	256527
148	58615	256096
149	59007	255700
150	59382	255225
151	59798	254928
152	60173	254459
153	60583	254137
154	60970	253717
